"ID","sex","time","coffee","alertness"
1,"male","morning","coffee",9.04926279664074
2,"male","morning","coffee",0
3,"male","morning","coffee",14.3880043515267
4,"male","morning","coffee",7.25876043148855
5,"male","morning","coffee",6.64294870399811
6,"male","morning","coffee",8.18514821598769
7,"male","morning","coffee",5.5976940009979
8,"male","morning","coffee",8.06752073260462
9,"male","morning","coffee",11.3353799990634
10,"male","morning","coffee",4.71270218999507
1,"male","morning","control",11.9565376209964
2,"male","morning","control",10.7008017034285
3,"male","morning","control",11.0797598620783
4,"male","morning","control",8.99620548700694
5,"male","morning","control",3.24171718197392
6,"male","morning","control",0.905772542265033
7,"male","morning","control",3.68595168274938
8,"male","morning","control",9.77951053434944
9,"male","morning","control",9.34978342375563
10,"male","morning","control",5.54138138369911
1,"male","noon","coffee",7.0377926251922
2,"male","noon","coffee",12.5766652545643
3,"male","noon","coffee",15.102374838249
4,"male","noon","coffee",15.8296030655653
5,"male","noon","coffee",10.3897758769037
6,"male","noon","coffee",12.870738019443
7,"male","noon","coffee",14.9728816882846
8,"male","noon","coffee",4.22400430959299
9,"male","noon","coffee",8.09525478702127
10,"male","noon","coffee",12.6915208402736
1,"male","noon","control",22.6533946978498
2,"male","noon","control",22.141254411415
3,"male","noon","control",14.4542363661699
4,"male","noon","control",15.6693475797786
5,"male","noon","control",16.9220764711679
6,"male","noon","control",25.9128941230761
7,"male","noon","control",21.0438690310327
8,"male","noon","control",16.6689613383204
9,"male","noon","control",15.0827203605676
10,"male","noon","control",20.3482366912867
1,"male","afternoon","coffee",18.047181784716
2,"male","afternoon","coffee",21.7120538360993
3,"male","afternoon","coffee",20.4110134325031
4,"male","afternoon","coffee",20.1321878494987
5,"male","afternoon","coffee",13.3182787765747
6,"male","afternoon","coffee",16.3518304778304
7,"male","afternoon","coffee",21.4123054904542
8,"male","afternoon","coffee",26.6215954627769
9,"male","afternoon","coffee",14.7045897218575
10,"male","afternoon","coffee",18.1859542383539
1,"male","afternoon","control",24.3045523521716
2,"male","afternoon","control",15.7458514951095
3,"male","afternoon","control",20.2067523059979
4,"male","afternoon","control",21.3551255391299
5,"male","afternoon","control",25.0865799368015
6,"male","afternoon","control",22.5346699894076
7,"male","afternoon","control",20.2901589329708
8,"male","afternoon","control",26.5982747145844
9,"male","afternoon","control",23.7267043467589
10,"male","afternoon","control",29.6015113405198
11,"female","morning","coffee",28.3341689125977
12,"female","morning","coffee",27.4026077615175
13,"female","morning","coffee",25.3538179538347
14,"female","morning","coffee",17.0544814057436
15,"female","morning","coffee",29.9728050186503
16,"female","morning","coffee",28.2227776608634
17,"female","morning","coffee",30
18,"female","morning","coffee",27.2283164600337
19,"female","morning","coffee",24.8586574893967
20,"female","morning","coffee",29.5757381736017
11,"female","morning","control",19.7622980046991
12,"female","morning","control",9.24193918349914
13,"female","morning","control",17.4601201033472
14,"female","morning","control",11.2201472099593
15,"female","morning","control",16.9600779779369
16,"female","morning","control",19.2392540889677
17,"female","morning","control",18.7485985915765
18,"female","morning","control",15.4497886781566
19,"female","morning","control",13.8062358989231
20,"female","morning","control",10.4553414508119
11,"female","noon","coffee",14.1682609438773
12,"female","noon","coffee",19.4713738309308
13,"female","noon","coffee",18.9248010536558
14,"female","noon","coffee",20.7686675711773
15,"female","noon","coffee",15.9669038143905
16,"female","noon","coffee",21.5640067519636
17,"female","noon","coffee",24.343937785037
18,"female","noon","coffee",24.9939059614897
19,"female","noon","coffee",15.6724999093305
20,"female","noon","coffee",15.0226334488122
11,"female","noon","control",7.66117918830564
12,"female","noon","control",17.1341031145166
13,"female","noon","control",19.0647345856461
14,"female","noon","control",13.6442857021166
15,"female","noon","control",16.8637938782559
16,"female","noon","control",20.0727754208264
17,"female","noon","control",16.1508621574358
18,"female","noon","control",16.8729654255025
19,"female","noon","control",14.7195645080243
20,"female","noon","control",10.1595372072475
11,"female","afternoon","coffee",12.2583768430558
12,"female","afternoon","coffee",15.594740867745
13,"female","afternoon","coffee",22.9552724960911
14,"female","afternoon","coffee",18.2665065232265
15,"female","afternoon","coffee",19.9088742859835
16,"female","afternoon","coffee",22.0085614378659
17,"female","afternoon","coffee",15.2214885864171
18,"female","afternoon","coffee",18.3941697258347
19,"female","afternoon","coffee",24.0796252303055
20,"female","afternoon","coffee",22.2093750741395
11,"female","afternoon","control",14.4521660393042
12,"female","afternoon","control",7.27999061276945
13,"female","afternoon","control",18.6962100512082
14,"female","afternoon","control",10.2433241654427
15,"female","afternoon","control",11.797250147972
16,"female","afternoon","control",12.6190775302071
17,"female","afternoon","control",13.2220729785113
18,"female","afternoon","control",9.16167052354407
19,"female","afternoon","control",4.8476059491702
20,"female","afternoon","control",11.4712433069609
